item_id,subsystem,applicability,target_mpn,manufacturer,build_qty,planned_buy_qty_when_unblocked,lock_state,no_substitute,blocking_evidence
MB1,integrated_mainboard,INTEGRATED_MAINBOARD,PENDING_CURRENT_BOARD_EVIDENCE,PENDING,1,2,BLOCKED,true,board_mpn_revision_front_back_dimensions_key_ics_firmware_sdk_build_flash_logs_timestamps_features_supply
M1,oid_head,ALL,PENDING_BOARD_MATCHED_HEAD,PENDING,1,2,BLOCKED,true,exact_mpn_revision_board_match_optical_event_boundary_mechanical_codecard_print_tool_offline_supply
U1,mcu,CUSTOM_BOARD,ESP32-S3-MINI-1-N8,Espressif,1,3,CANDIDATE,true,CUSTOM_BOARD_BRANCH_ONLY_datasheet_channel_label_power_budget_schematic_review
U2,audio_amp,CUSTOM_BOARD,MAX98357AETE+,Analog Devices,1,3,CANDIDATE,true,CUSTOM_BOARD_BRANCH_ONLY_datasheet_channel_label_audio_and_shutdown_test
U3,charger_power_path,CUSTOM_BOARD,BQ24074RGTR,Texas Instruments,1,3,CANDIDATE,true,CUSTOM_BOARD_BRANCH_ONLY_datasheet_channel_label_charge_ntc_power_path_test
U4,fuel_gauge,CUSTOM_BOARD,MAX17048G+T10,Analog Devices,1,3,CANDIDATE,true,CUSTOM_BOARD_BRANCH_ONLY_datasheet_channel_label_soc_curve_quiescent_current_test
U5,3v3_power,CUSTOM_BOARD,PENDING_POWER_BUDGET,PENDING,1,3,BLOCKED,true,CUSTOM_BOARD_BRANCH_ONLY_peak_current_quiescent_current_efficiency_thermal_transient_test
SD1,storage_32gb,ALL,PENDING_EXACT_SERIES,PENDING,1,3,BLOCKED,true,exact_mpn_full_disk_test_power_loss_test_supply_lifecycle
B1,protected_cell_650_800mah,ALL,PENDING_CELL_SAMPLE,PENDING,1,3,BLOCKED,true,exact_mpn_dimensions_protection_ntc_datasheet_msds_un38_3_capacity_test
SP1,target_speaker,ALL,PENDING_BOARD_MATCHED_SPEAKER,PENDING,1,3,BLOCKED,true,exact_mpn_board_output_match_dimensions_impedance_power_sensitivity_response_consistency_spl_test
J1,usb_c_connector,CUSTOM_BOARD,PENDING_MECHANICAL_LAYOUT,PENDING,1,5,BLOCKED,true,CUSTOM_BOARD_BRANCH_ONLY_exact_mpn_drawing_cycle_rating_pcb_retention_test
PCB1,custom_target_mainboard,CUSTOM_BOARD,PENDING_CUSTOM_GERBER_REV,Yimi,2,5,BLOCKED,true,CUSTOM_BOARD_BRANCH_ONLY_branch_decision_schematic_review_stackup_dfm_flying_probe_aoi
ENC1,target_enclosure,ALL,PENDING_TARGET_CAD_REV,Yimi,2,2,BLOCKED,true,material_dimensions_surface_acoustic_drop_and_child_access_tests
