item_id,priority,status,qty,item,candidate_model,buy_when,purchase_gate,seller_evidence,incoming_acceptance,budget_rmb,role,reference_source
REF1,EVT0,SKU_EVIDENCE_REQUIRED,1,小鸡球球点读笔,PIYO PEN PW20 32GB（待卖家证明）,卖家原图和精确 SKU 通过后,卖家先证明 PW20/32GB/包装条码/背标/批次/原配码书且承诺不替代版本,包装条码；背面铭牌；生产批次；固件/App；配套码书；充电口,型号与卖家照片一致；配套码书可点；断网可点；记录重量尺寸按键首音和声压,400-1200,同类产品体验基准,https://www.elektra.mx/lapiz-de-lectura-inteligente-piyo-pen-pw20-32gb-1300804374/p
REF2,EVT0,SELLER_PHOTO_REQUIRED,1,宝宝巴士/赳赳 JoJo 点读笔,宝宝巴士点读笔 G4 / 九机商品 446637（待同框证明）,G4 同框原图和本订单 SKU 通过后,卖家先证明 G4 标识/包装条码/背标/版本页/商品 446637/套装点读物属于同一待发实物,包装条码；实物铭牌；固件/App；按键和状态灯；充电口；配套点读物,SKU 与卖家照片一致；点读和内容管理正常；记录断网/升级/低电反馈和首音,300-900,同类产品交互与内容管理基准,https://book.babybus.com/help-center/|https://www.9ji.com/product/446637.html
REF3,EVT0,REPLACEMENT_REQUIRED,1,低价 OID 牺牲拆解笔,明确品牌型号并带原配码书,取得符合预算的精确候选和卖家原图后,先取得品牌/完整型号/包装背标/原配码书/输入技术/批次并证明到手可正常点读,铭牌；包装；主机和码书实拍；充电口；生产批次,先完成非破坏测试再分层拆解；全程照片尺寸丝印和电气记录；不把猜测写成料号,100-400,结构/光头/线束/声腔拆解参考,
REF4,P1,READY_TO_BUY,1,讯飞 AI 词典笔,X8 Pro,借不到时再买,优先借用；购买时确认商品 ID 2223 和完整型号,包装条码；实物铭牌；系统版本；配件清单,只做提示音状态层级失败反馈充电升级观察；不拆机也不作为主板架构基准,0借用或800-1800购买,交互质量基准,https://www.xunfei.cn/goods?goodsId=2223
MB1,EVT0,READY_TO_INQUIRE,2套,近期量产点读笔一体主板/OID 完整套件,同 BOARD_MPN/PCB_REV/HEAD_MPN/HEAD_REV/FW_VERSION,现在询证后付款,两套身份必须完全一致且后续批量可同版供货；拒绝随机版本和功能相同替代,主板正反面和板号；2D 尺寸；关键芯片；光头/镜头/补光/FPC；至少24码码卡和空白区；印刷样张；SDK/固件/烧录/日志/码工具；2024-2026供货证据,两套身份逐项一致；限流上电；24码逐码事件；空白无触发；离线运行；资料和工具可复现；版本不符即隔离,800-4000两套,目标机核心候选,https://www.ztrontech.com/solutions/1.html|https://www.szdianjiao.com/articles/readpen.html|https://www.sonix.com.tw/products/oid
LAB1,EVT0,READY_TO_BUY_IF_MISSING,1,可调限流直流电源,0-30V/0-5A；电流限值可细调；显示分辨率满足板级上电,主板到货前,已有合格设备则不重复买,品牌型号；校准/精度说明；探头和香蕉线,空载和已知负载验证；限流动作正常；记录序列号,300-1000,来料上电和故障隔离,
LAB2,EVT0,READY_TO_BUY_IF_MISSING,1,数字万用表,真有效值；μA/mA/A 电流；二极管；通断；Min/Max,现在,已有合格设备则不重复买,品牌型号；精度；保险丝规格；表笔,用已知电压/电阻和通断验证；电流档保险丝完好,200-800,电气来料与拆解测量,
LAB3,EVT0,READY_TO_BUY_IF_MISSING,1套,尺寸和重量测量,0-150mm/0.01mm 卡尺 + 0.1g 电子秤,现在,已有合格设备则不重复买,品牌型号；量程；分辨率；校准块或砝码,归零和已知尺寸/重量验证；建立固定拍照标尺,150-500,结构包络和重量基线,
LAB4,EVT0,READY_TO_BUY_IF_MISSING,1,微距观察工具,带标尺的手机微距镜或 USB 显微镜,现在,必须能稳定拍清 PCB 丝印和纸面点阵,实拍样张；倍率和工作距；支架,同一标尺下拍清 0402/丝印和点阵；照片可重复对焦,100-500,主板丝印和 OID 印刷观察,
LAB5,P1,READY_TO_BUY_IF_MISSING,1,USB-C 功率计,支持 5V/USB-C 电压电流容量与时间记录,主板或竞品到货前,已有可记录设备则不重复买,品牌型号；量程；采样/导出能力；接口方向,与已知负载交叉检查；记录充电和 USB 工况,150-500,充电/功耗测量,
LAB6,P1,READY_TO_BUY_IF_MISSING,1,A 计权声级计,A/Fast/Slow；可固定在 50cm；数据记录优先,声学回归前,需有可核验校准方式；手机 App 只做相对比较,品牌型号；精度等级；校准说明；记录能力,在固定夹具和环境噪声下复测一致；记录校准日期,300-1500,最大声压和三只扬声器一致性,
LAB7,P1,WAIT_BOARD_LOCK,1,逻辑分析仪/示波器,按已知 OID 接口电平带宽和通道数选型,主板接口确认后,先确认 UART/SPI/I2C/音频边界和电压；避免买错带宽或输入容限,接口说明；最大采样率；输入电压；探头；协议解码,用校准方波和已知 UART/SPI 验证；再捕获 OID 事件与首音,待接口确认,事件时序和协议观测,
SD1,EVT0,WAIT_BOARD_LOCK,3,32GB 存储,与 BOARD_TARGET 支持方式匹配的同品牌同系列同容量 microSD 或板载器件,主板锁定后,先确认存储接口文件系统容量上限和供货生命周期,完整 MPN；包装和序列号；授权渠道；数据手册,三只全盘写读；坏块/速度/序列号；断电恢复；同系列一致,150-350三只,目标本地内容存储,
B1,EVT0,WAIT_BOARD_LOCK,3,保护锂聚合物电芯,650-800mAh + 保护板 + 10k NTC；尺寸/插头/极性匹配,主板和外壳包络锁定后,不得先猜连接器极性或用无 NTC 电芯,完整型号；尺寸图；保护/NTC；MSDS；UN38.3；批次,外观/电压/内阻/容量/NTC/极性；三只一致；不挤压装配,150-450三只,目标电源与续航,
